Timestamp,num_ues,IMSI,RNTI,,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,,sum_requested_prbs,sum_granted_prbs,,dl_pmi,dl_ri,ul_n,ul_turbo_iters
1658344927223,6,80,80,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0
1658344927481,4,80,80,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,0,18,0,0,7,100,0,0,0,,0,0,,0,0,0,0
1658344927723,3,80,80,,0,0,0,0,0,,0,0,0,0,0,0,0.1,,2.1,20,0,0,5,100,0,0.1,0,,0,0,,0,0,0,10
